PercGcycle	RhipAngX25	RhipAngY25	RhipAngZ25	RkneeAngX25	RkneeAngY25	RkneeAngZ25	RankleAngX25	RankleAngY25	RankleAngZ25	RhipMomX25	RhipMomY25	RhipMomZ25	RkneeMomX25	RkneeMomY25	RkneeMomZ25	RankleMomX25	RankleMomY25	RankleMomZ25	RgrfX25	RgrfY25	RgrfZ25	RhipPow25	RkneePow25	RanklePow25	RhipAngX35	RhipAngY35	RhipAngZ35	RkneeAngX35	RkneeAngY35	RkneeAngZ35	RankleAngX35	RankleAngY35	RankleAngZ35	RhipMomX35	RhipMomY35	RhipMomZ35	RkneeMomX35	RkneeMomY35	RkneeMomZ35	RankleMomX35	RankleMomY35	RankleMomZ35	RgrfX35	RgrfY35	RgrfZ35	RhipPow35	RkneePow35	RanklePow35	RhipAngX45	RhipAngY45	RhipAngZ45	RkneeAngX45	RkneeAngY45	RkneeAngZ45	RankleAngX45	RankleAngY45	RankleAngZ45	RhipMomX45	RhipMomY45	RhipMomZ45	RkneeMomX45	RkneeMomY45	RkneeMomZ45	RankleMomX45	RankleMomY45	RankleMomZ45	RgrfX45	RgrfY45	RgrfZ45	RhipPow45	RkneePow45	RanklePow45	LhipAngX25	LhipAngY25	LhipAngZ25	LkneeAngX25	LkneeAngY25	LkneeAngZ25	LankleAngX25	LankleAngY25	LankleAngZ25	LhipMomX25	LhipMomY25	LhipMomZ25	LkneeMomX25	LkneeMomY25	LkneeMomZ25	LankleMomX25	LankleMomY25	LankleMomZ25	LgrfX25	LgrfY25	LgrfZ25	LhipPow25	LkneePow25	LanklePow25	LhipAngX35	LhipAngY35	LhipAngZ35	LkneeAngX35	LkneeAngY35	LkneeAngZ35	LankleAngX35	LankleAngY35	LankleAngZ35	LhipMomX35	LhipMomY35	LhipMomZ35	LkneeMomX35	LkneeMomY35	LkneeMomZ35	LankleMomX35	LankleMomY35	LankleMomZ35	LgrfX35	LgrfY35	LgrfZ35	LhipPow35	LkneePow35	LanklePow35	LhipAngX45	LhipAngY45	LhipAngZ45	LkneeAngX45	LkneeAngY45	LkneeAngZ45	LankleAngX45	LankleAngY45	LankleAngZ45	LhipMomX45	LhipMomY45	LhipMomZ45	LkneeMomX45	LkneeMomY45	LkneeMomZ45	LankleMomX45	LankleMomY45	LankleMomZ45	LgrfX45	LgrfY45	LgrfZ45	LhipPow45	LkneePow45	LanklePow45
0	0.250868	-3.1024	28.9875	4.78431	-15.5168	7.60396	8.79454	15.7763	-0.143013	0.0699052	-0.0554068	-0.67809	0.0865956	-0.00734146	-0.348786	0.000479268	0.00302049	-0.00155	-0.224737	0.787717	0.192564	0.352393	0.910541	0.00886593	0.278012	-4.4469	31.6604	4.99485	-14.6367	8.10317	8.13548	13.9816	-4.02478	0.0258853	-0.0877076	-0.951823	0.104723	-0.0166382	-0.514648	0.0130275	-0.00146882	0.0320708	-0.261868	0.79745	0.25183	1.09442	1.4776	0.0569179	0.490733	-5.56787	33.7135	5.11225	-13.2252	6.86732	9.63944	11.2497	-6.49203	-0.00420157	-0.109158	-1.17223	0.107944	-0.0239522	-0.62048	0.0162858	-0.00705764	0.047847	-0.267839	0.977829	0.282429	2.08798	2.43577	0.0368966	3.32493	-8.24075	30.6491	1.13563	-13.0788	7.13063	3.31546	15.2498	-0.841613	-0.115903	-0.0558215	-0.794089	0.00804415	-0.0323104	-0.403517	-0.00445317	-0.0284854	-0.000240244	-0.212677	0.773042	0.0732059	0.998518	0.594666	-0.0621033	3.79545	-10.237	32.7833	1.33057	-10.9499	6.38761	5.1446	14.2821	-3.47225	-0.229461	-0.0696182	-1.04299	0.0208422	-0.0324153	-0.57872	0.00159906	-0.0312653	0.0229261	-0.193547	0.820836	0.113307	1.81285	0.880732	0.0338864	4.03333	-11.6475	34.2223	1.56244	-9.84871	6.54008	5.7671	12.905	-8.30954	-0.284387	-0.098862	-1.2473	0.0415036	-0.0506099	-0.685122	0.0177434	-0.0481962	0.0595311	-0.258393	0.982262	0.150956	2.72081	1.62076	0.0301597
1	0.541231	-2.15149	28.8348	5.03927	-16.2548	8.98447	7.61836	14.8915	-0.560035	0.198106	-0.0595677	-0.650863	0.158802	-0.014243	-0.26373	-0.000538171	0.00364988	-0.0406204	-0.408065	2.15535	0.305653	0.181689	0.895922	-0.0378615	0.567905	-3.30968	31.3586	5.25584	-15.4213	9.71108	7.53229	12.9711	-4.33874	0.178933	-0.0914484	-0.899567	0.180892	-0.0301494	-0.383003	0.0127662	-0.00634482	-0.0223241	-0.575283	2.34745	0.393443	0.642557	1.57395	-0.0212646	0.79153	-4.22464	33.2699	5.29695	-13.8349	8.77429	9.23504	10.0344	-6.7114	0.14414	-0.112993	-1.08261	0.176717	-0.0467171	-0.446749	0.0152955	-0.0265287	-0.044029	-0.673605	2.77347	0.433354	1.34845	2.35027	-0.132493	3.66016	-7.50603	30.2354	1.27049	-13.6164	8.05172	2.04304	14.9425	-1.47744	-0.00846439	-0.0634171	-0.809483	0.0548474	-0.0454141	-0.346571	-0.0158763	-0.0367678	-0.0300022	-0.341321	2.08639	0.148074	0.888165	0.875669	-0.224796	4.16545	-9.32811	32.3174	1.43221	-11.7862	7.4649	4.45812	14.0232	-4.32745	-0.105155	-0.0789616	-1.05249	0.0678478	-0.0543485	-0.49456	-0.00979565	-0.0448235	-0.0287419	-0.410061	2.3169	0.237244	1.29262	1.54657	-0.178986	4.46025	-10.6383	33.6423	1.55689	-10.6813	7.80974	5.39737	12.4287	-8.76464	-0.16091	-0.116454	-1.21833	0.0892324	-0.081522	-0.549673	0.00910685	-0.0684018	-0.0144628	-0.598079	2.71485	0.295933	1.84386	2.20882	-0.171061
2	0.862574	-1.19201	28.7214	5.3692	-16.6863	10.8148	5.81433	13.7586	-0.764714	0.35637	-0.0640887	-0.611039	0.2766	-0.011696	-0.129337	-0.00334012	0.0133907	-0.0768268	-0.64058	4.17551	0.424395	-0.0597119	0.404544	-0.00980444	0.914237	-2.13981	31.1911	5.58814	-15.8385	11.9011	6.25764	11.7114	-4.25678	0.375239	-0.0972576	-0.826512	0.312731	-0.034706	-0.184785	0.0135674	-0.00262847	-0.0726067	-1.00222	4.67086	0.548229	0.14419	0.824401	0.0195696	1.1371	-2.82506	32.9965	5.55574	-14.1384	11.2399	8.22854	8.74167	-6.62207	0.363446	-0.117689	-0.977619	0.315885	-0.0581808	-0.196725	0.0182102	-0.0325476	-0.135186	-1.24647	5.42726	0.599736	0.573633	1.09205	-0.102006	4.02729	-6.68702	29.8629	1.47051	-14.0785	9.44786	0.121355	14.5288	-1.96908	0.126644	-0.0746488	-0.815209	0.128045	-0.0585834	-0.252679	-0.0330773	-0.0501899	-0.0528985	-0.498657	4.03127	0.223426	0.685418	0.869114	-0.450202	4.57655	-8.29616	32.0263	1.58994	-12.5367	9.20627	2.89842	13.646	-4.88924	0.0788148	-0.0923291	-1.04657	0.158922	-0.0755059	-0.360033	-0.0261693	-0.0619131	-0.076088	-0.705633	4.5452	0.376932	0.703779	1.59736	-0.459334	4.93358	-9.44518	33.3005	1.61381	-11.396	9.77142	4.23788	11.7976	-8.81184	0.0373106	-0.133919	-1.17162	0.184883	-0.110026	-0.35271	-0.00381966	-0.0916981	-0.0842621	-1.06361	5.26159	0.456909	1.01512	1.81184	-0.384796
3	1.22115	-0.300748	28.6664	5.76864	-16.6651	13.103	3.55157	12.3609	-0.543438	0.50297	-0.0675276	-0.551121	0.416165	0.00241085	0.065674	-0.00732756	0.0286424	-0.0842449	-0.902687	6.72051	0.494907	-0.367791	-0.81946	0.138313	1.32556	-1.06459	31.1448	5.98678	-15.7053	14.6149	4.37699	10.1769	-3.64712	0.572812	-0.105332	-0.739252	0.482043	-0.0254153	0.0903635	0.0163575	0.00982953	-0.0856782	-1.50004	7.65862	0.660614	-0.388672	-1.0586	0.205318	1.53876	-1.51507	32.8793	5.89045	-13.9949	14.1969	6.58629	7.3773	-6.08836	0.616426	-0.125276	-0.860409	0.514051	-0.0507124	0.141082	0.0261192	-0.0177631	-0.179793	-1.94687	8.83813	0.730659	-0.238991	-1.65454	0.241812	4.44334	-5.87031	29.5589	1.72435	-14.33	11.3151	-2.25063	13.9145	-2.05964	0.251238	-0.0875609	-0.793832	0.206533	-0.0695346	-0.11163	-0.0541245	-0.0763171	-0.0443037	-0.67726	6.49365	0.255797	0.365833	0.414637	-0.692211	5.04631	-7.26333	31.8953	1.82107	-13.0226	11.5415	0.541522	13.0535	-4.94644	0.282754	-0.110644	-1.00629	0.276668	-0.092844	-0.159648	-0.0460115	-0.0892401	-0.0873486	-1.06866	7.40756	0.483952	0.0553407	0.77616	-0.775294	5.46833	-8.18748	33.1469	1.76911	-11.8231	12.3178	2.26099	10.9516	-8.30641	0.278297	-0.152266	-1.10099	0.317246	-0.130738	-0.0844072	-0.0199336	-0.122	-0.108322	-1.61849	8.53148	0.585598	0.210277	0.232888	-0.670338
4	1.62694	0.460397	28.7023	6.20242	-16.1264	15.8557	1.14124	10.7335	0.273917	0.597566	-0.0618696	-0.479226	0.535923	0.029336	0.32428	-0.0163454	0.040252	-0.036141	-1.16569	9.48399	0.434762	-0.699863	-2.93783	0.224673	1.80757	-0.192167	31.2137	6.4094	-14.9421	17.7917	2.10938	8.3958	-2.40147	0.722934	-0.107964	-0.659907	0.645372	0.00219082	0.439734	0.0153822	0.0240721	-0.0246167	-1.99247	10.9866	0.64095	-0.921903	-4.15077	0.256449	2.00564	-0.415255	32.9122	6.27474	-13.3583	17.5857	4.40486	5.94335	-4.94705	0.833495	-0.13199	-0.75469	0.72158	-0.0204471	0.560878	0.0322207	0.011826	-0.128612	-2.67053	12.649	0.739149	-1.03266	-5.93719	0.59324	4.92678	-5.13774	29.3623	1.99865	-14.2768	13.6491	-4.7383	13.0454	-1.55994	0.321371	-0.0965335	-0.743092	0.257283	-0.0769588	0.0805862	-0.077623	-0.125203	0.0180148	-0.861748	9.17263	0.183047	-0.0308104	-0.625733	-1.01455	5.59304	-6.35329	31.9119	2.10283	-13.1122	14.3978	-2.32066	12.1806	-4.32883	0.436225	-0.127881	-0.936636	0.376963	-0.103359	0.110099	-0.0695216	-0.139321	-0.0288492	-1.4645	10.5948	0.473599	-0.582079	-1.04669	-1.26116	6.08325	-7.00392	33.1372	2.01196	-11.8438	15.3409	-0.376187	9.86021	-7.13136	0.493481	-0.166519	-1.022	0.444527	-0.139046	0.249865	-0.0418021	-0.171373	-0.0432851	-2.18149	12.2123	0.594874	-0.559777	-2.48866	-1.32107
5	2.09367	1.04601	28.858	6.58972	-15.1443	19.0361	-1.06969	9.00838	1.70632	0.655285	-0.0397621	-0.416398	0.609174	0.066051	0.641053	-0.0345837	0.0394344	0.0781609	-1.42631	12.1144	0.215585	-1.02698	-5.87598	-0.0917737	2.36594	0.407629	31.3919	6.76003	-13.6511	21.3355	-0.223334	6.51227	-0.538203	0.819366	-0.088586	-0.60449	0.757312	0.0513358	0.857773	-0.00257894	0.0329502	0.124884	-2.43461	14.2478	0.433711	-1.42731	-8.20928	-0.322241	2.54583	0.399988	33.0869	6.63379	-12.3287	21.3246	1.92721	4.51325	-3.12589	0.974475	-0.121181	-0.701108	0.874655	0.0340197	1.04375	0.0194231	0.0410535	0.0414991	-3.312	16.3864	0.549488	-1.76933	-11.2751	0.150479	5.49325	-4.55133	29.3121	2.23071	-13.9208	16.4165	-6.98574	11.9669	-0.439412	0.341787	-0.096191	-0.692349	0.266576	-0.0813822	0.317113	-0.101016	-0.200378	0.141469	-1.05209	11.7015	-0.0127639	-0.438551	-2.31046	-1.55135	6.23162	-5.66996	32.06	2.35758	-12.7827	17.6807	-5.26367	11.0708	-3.00399	0.499788	-0.127907	-0.88102	0.417153	-0.101928	0.439182	-0.10121	-0.219166	0.113731	-1.8559	13.7032	0.277897	-1.1249	-3.77141	-2.18036	6.79624	-6.02673	33.2315	2.26584	-11.4546	18.7212	-3.34631	8.5961	-5.28776	0.627102	-0.158492	-0.975567	0.513541	-0.128067	0.637035	-0.0800773	-0.250516	0.130611	-2.68224	15.8838	0.399541	-1.25986	-6.02426	-2.74932
6	2.63471	1.42233	29.1348	6.81698	-13.9154	22.5271	-2.81961	7.38774	3.61383	0.765042	-0.01824	-0.356914	0.659771	0.0949107	1.02278	-0.0555966	0.0185785	0.240167	-1.7309	14.4103	-0.0533834	-1.38837	-9.35054	-0.934195	3.00704	0.707755	31.6576	6.90589	-12.1008	25.0879	-2.2989	4.76753	1.77578	0.933389	-0.0606802	-0.547053	0.819345	0.0995474	1.35537	-0.0358038	0.0218565	0.339156	-2.8643	17.1619	0.122641	-1.90602	-12.7374	-1.71351	3.16877	0.907822	33.372	6.84882	-11.1325	25.2756	-0.509433	3.24787	-0.713724	1.07572	-0.0912447	-0.686277	0.946161	0.0936619	1.59488	-0.0192135	0.0470545	0.304171	-3.8672	19.6834	0.196907	-2.42077	-16.9509	-1.62798	6.15138	-4.14261	29.4291	2.34181	-13.3577	19.5271	-8.72309	10.8094	1.18192	0.379213	-0.097073	-0.657506	0.258362	-0.093006	0.604117	-0.117965	-0.297407	0.306913	-1.2882	13.8605	-0.246513	-0.866469	-4.61858	-2.31608	6.97171	-5.27391	32.3086	2.46445	-12.1358	21.2464	-7.86836	9.87804	-1.09674	0.527448	-0.114476	-0.867117	0.401286	-0.099028	0.829087	-0.138054	-0.330043	0.321367	-2.25109	16.4659	-0.0456145	-1.56709	-7.18678	-3.55987	7.61875	-5.35457	33.3853	2.39992	-10.7757	22.3103	-6.23887	7.34182	-2.91233	0.694364	-0.129181	-0.974098	0.504992	-0.111046	1.08221	-0.134907	-0.368724	0.39211	-3.12444	19.2014	0.0246325	-1.80785	-9.99442	-4.98569
7	3.25285	1.55754	29.4891	6.78677	-12.6253	26.135	-3.99155	6.02845	5.79035	0.967009	-0.0242224	-0.309769	0.716872	0.102288	1.45405	-0.0687728	-0.0200666	0.42382	-2.08574	16.355	-0.225233	-1.82563	-12.6839	-2.06315	3.73062	0.708459	31.9556	6.73622	-10.5453	28.8389	-3.88982	3.3462	4.32558	1.12149	-0.0661013	-0.503351	0.863378	0.116294	1.90195	-0.0651439	-0.0195047	0.583262	-3.26657	19.6409	-0.125798	-2.41081	-16.6751	-3.54999	3.88215	1.11759	33.6934	6.80034	-9.95888	29.2404	-2.58077	2.26527	2.0944	1.20378	-0.0802257	-0.70616	0.963992	0.121046	2.19063	-0.0632139	0.00961629	0.610182	-4.31474	22.401	-0.161585	-2.95567	-21.7643	-4.33272	6.89516	-3.91544	29.697	2.27701	-12.6835	22.8275	-9.82054	9.68996	3.11432	0.48519	-0.117356	-0.645471	0.266573	-0.120834	0.937401	-0.121971	-0.404964	0.487324	-1.58485	15.6343	-0.393178	-1.34217	-7.22186	-3.16822	7.81239	-5.17131	32.6016	2.31136	-11.3058	24.8969	-9.83685	8.75784	1.18439	0.604184	-0.124326	-0.896546	0.374326	-0.121684	1.26909	-0.162804	-0.469779	0.559449	-2.63862	18.8184	-0.331342	-1.96691	-10.6954	-5.07246	8.54756	-5.03481	33.5377	2.27994	-9.9438	25.9273	-8.67926	6.26969	-0.201571	0.759795	-0.120349	-1.02678	0.453351	-0.125011	1.56643	-0.182052	-0.531607	0.69964	-3.48793	22.0004	-0.373929	-2.13642	-13.6659	-7.48997
8	3.92645	1.423	29.8343	6.46157	-11.3287	29.6336	-4.61289	4.94973	8.05155	1.21103	-0.0661461	-0.297732	0.780962	0.0946893	1.89146	-0.0717095	-0.0641574	0.614522	-2.41433	18.0381	-0.238567	-2.26511	-14.9387	-3.16943	4.5136	0.427076	32.1935	6.21661	-9.05771	32.3694	-4.91519	2.24535	6.93841	1.36224	-0.119606	-0.500801	0.905085	0.10549	2.43528	-0.0821044	-0.0776347	0.834007	-3.54362	21.7383	-0.212744	-2.90665	-18.8734	-5.30444	4.67676	1.04812	33.9307	6.41635	-8.79771	32.9899	-4.08522	1.49864	5.08627	1.38549	-0.117282	-0.760218	0.96832	0.109044	2.77081	-0.0939956	-0.0619449	0.920166	-4.55755	24.5937	-0.376508	-3.29348	-24.2938	-7.05151	7.6897	-3.86077	30.0481	2.03705	-11.9005	26.1241	-10.2989	8.6301	5.17543	0.654882	-0.165511	-0.658919	0.307517	-0.160464	1.28831	-0.112954	-0.510511	0.668279	-1.88508	17.138	-0.382687	-1.77743	-9.41737	-3.99406	8.7253	-5.32253	32.8521	1.85354	-10.3364	28.408	-11.0476	7.74528	3.62967	0.756332	-0.18012	-0.954215	0.370792	-0.173451	1.71858	-0.167059	-0.621919	0.803166	-2.9365	20.831	-0.44993	-2.28972	-13.2332	-6.39737	9.54983	-5.0592	33.6037	1.82796	-8.9784	29.3741	-10.4302	5.39992	2.65698	0.874076	-0.163689	-1.12208	0.406384	-0.180147	2.04088	-0.204133	-0.720695	1.01653	-3.68773	24.2832	-0.634957	-2.21635	-15.9604	-9.64752
9	4.60281	1.01731	30.0612	5.87344	-9.98734	32.8113	-4.81563	4.07227	10.2684	1.43149	-0.133973	-0.31381	0.838657	0.0861859	2.29856	-0.069024	-0.102535	0.8058	-2.62926	19.5532	-0.124697	-2.48344	-15.4946	-4.08824	5.29829	-0.0852266	32.2573	5.40162	-7.58621	35.4895	-5.43025	1.33889	9.50146	1.60182	-0.208446	-0.51331	0.941742	0.0863688	2.91245	-0.0897954	-0.134988	1.07977	-3.61732	23.5342	-0.141347	-3.11645	-18.8098	-6.72489	5.50761	0.732946	33.9364	5.6931	-7.50499	36.3065	-4.98813	0.759068	8.08166	1.60832	-0.200729	-0.797854	0.978882	0.0785165	3.28784	-0.110132	-0.142184	1.2133	-4.51935	26.3754	-0.394464	-3.21437	-23.7122	-9.21972	8.46206	-3.96295	30.3672	1.6736	-10.9407	29.216	-10.299	7.58523	7.23324	0.850688	-0.238179	-0.685587	0.377565	-0.199979	1.62606	-0.0968265	-0.605565	0.846441	-2.10954	18.5001	-0.22537	-1.92843	-10.5327	-4.75915	9.63719	-5.65276	32.9472	1.13601	-9.17795	31.5702	-11.5491	6.76404	6.07631	0.960044	-0.277672	-1.00398	0.39822	-0.236159	2.13497	-0.15584	-0.766543	1.04187	-3.06154	22.5878	-0.374427	-2.26657	-13.9174	-7.4856	10.549	-5.36226	33.4736	1.05426	-7.78777	32.4565	-11.4332	4.60806	5.50791	1.05228	-0.262099	-1.19926	0.392446	-0.257558	2.46352	-0.201827	-0.907017	1.32042	-3.65243	26.1187	-0.682162	-1.89155	-16.0088	-11.2666
10	5.2101	0.392947	30.0695	5.11583	-8.58293	35.5056	-4.77607	3.31422	12.3631	1.59661	-0.209584	-0.328927	0.880032	0.0871662	2.6565	-0.0675156	-0.129031	0.993475	-2.69021	20.943	0.0471245	-2.2763	-14.3572	-4.75862	5.99876	-0.722937	32.0446	4.424	-6.10612	38.0657	-5.5726	0.518762	11.9503	1.80399	-0.307384	-0.501205	0.967656	0.0766129	3.30808	-0.0959072	-0.178062	1.31531	-3.47381	25.0507	0.0311068	-2.73018	-16.7204	-7.77485	6.2892	0.246229	33.5772	4.70392	-6.00342	39.0248	-5.38308	-0.0814287	10.962	1.83526	-0.306428	-0.772434	0.991521	0.0550947	3.708	-0.120926	-0.207037	1.48407	-4.19511	27.8029	-0.249462	-2.50624	-20.2103	-10.7555	9.11479	-4.18455	30.5204	1.26871	-9.76922	31.9259	-10.0177	6.52914	9.21313	1.03188	-0.323493	-0.706385	0.461718	-0.228607	1.93082	-0.0815507	-0.685694	1.02246	-2.21147	19.7878	0.0186518	-1.55268	-10.3261	-5.42495	10.4354	-6.04762	32.7729	0.288759	-7.80001	34.2213	-11.5113	5.73539	8.42837	1.17484	-0.396555	-1.0108	0.447989	-0.289178	2.48773	-0.139064	-0.889513	1.27307	-2.98574	24.107	-0.153813	-1.53982	-12.6204	-8.4119	11.4277	-5.81755	33.0284	0.0639078	-6.30328	35.0102	-11.7834	3.76225	8.24675	1.26976	-0.394753	-1.20146	0.414224	-0.329262	2.80352	-0.186448	-1.066	1.60276	-3.36907	27.5424	-0.529184	-0.877461	-13.657	-12.4678
11	5.68031	-0.341035	29.7993	4.32899	-7.1676	37.6281	-4.65663	2.63599	14.2952	1.70783	-0.277716	-0.323508	0.905053	0.100417	2.9481	-0.0713966	-0.143569	1.17579	-2.59161	22.1809	0.218726	-1.62547	-12.0141	-5.18318	6.5216	-1.33397	31.4988	3.47231	-4.6791	40.0396	-5.50004	-0.250247	14.2522	1.95452	-0.392541	-0.449329	0.981322	0.0841148	3.59959	-0.10633	-0.201855	1.53872	-3.13746	26.2404	0.238623	-1.64169	-13.3733	-8.4841	6.90978	-0.283685	32.7754	3.60444	-4.37326	41.0615	-5.41895	-1.01429	13.6742	2.02069	-0.402848	-0.681786	0.992694	0.0546663	3.99942	-0.135869	-0.242432	1.7341	-3.62569	28.8455	-0.0158499	-1.08304	-14.9296	-11.7548	9.55737	-4.45043	30.4027	0.921998	-8.44929	34.1335	-9.64249	5.49247	11.0809	1.1731	-0.406466	-0.710122	0.545198	-0.24143	2.18453	-0.0724585	-0.750382	1.19804	-2.17435	20.9833	0.281554	-0.609998	-9.03599	-5.93312	10.9988	-6.35626	32.2523	-0.494881	-6.27929	36.2731	-11.1554	4.65764	10.6492	1.36319	-0.50835	-0.959929	0.507652	-0.318063	2.75111	-0.125983	-0.983438	1.49806	-2.72102	25.3294	0.1335	0.0204814	-10.0012	-9.17477	12.0537	-6.25133	32.174	-0.957686	-4.58414	36.9331	-11.6629	2.83004	10.8284	1.47511	-0.526276	-1.11411	0.457514	-0.372035	3.03385	-0.171327	-1.18213	1.86343	-2.86621	28.5265	-0.246558	0.987644	-9.69145	-13.3247
12	5.965	-1.03921	29.246	3.67383	-5.85766	39.1761	-4.56177	2.04817	16.0515	1.77961	-0.328143	-0.287173	0.92005	0.123285	3.15899	-0.0815873	-0.14979	1.35172	-2.3523	23.1987	0.357976	-0.666844	-9.19232	-5.41365	6.78804	-1.75295	30.623	2.74927	-3.43876	41.4295	-5.33659	-0.933702	16.3923	2.05001	-0.445591	-0.358269	0.984224	0.107639	3.77363	-0.123133	-0.208374	1.74763	-2.65585	27.0338	0.429742	-0.0115846	-9.7131	-8.88909	7.25694	-0.69099	31.5303	2.61027	-2.81326	42.4245	-5.23636	-1.93164	16.2013	2.13486	-0.463942	-0.542384	0.975837	0.0790873	4.14426	-0.158137	-0.246273	1.96281	-2.87768	29.4324	0.23077	0.924359	-9.37847	-12.2797	9.73495	-4.65899	29.9734	0.735334	-7.13476	35.799	-9.30097	4.55409	12.826	1.2662	-0.472937	-0.689053	0.618852	-0.239052	2.37109	-0.0709663	-0.801779	1.37337	-2.00324	22.0103	0.511701	0.687634	-7.20933	-6.23874	11.2355	-6.43197	31.3717	-1.01251	-4.80149	37.7239	-10.6771	3.62204	12.7373	1.49931	-0.5884	-0.851981	0.568484	-0.31915	2.90975	-0.121324	-1.04755	1.71593	-2.30562	26.1663	0.416814	2.10562	-7.08453	-9.66156	12.3153	-6.48778	30.876	-1.79246	-2.82715	38.2075	-11.2636	1.89758	13.2457	1.62379	-0.624146	-0.951246	0.508722	-0.376086	3.13997	-0.163737	-1.24953	2.10163	-2.1958	29.0135	0.0826584	3.43514	-5.47601	-13.703
13	6.04098	-1.55287	28.4499	3.2923	-4.80254	40.2141	-4.52103	1.5998	17.6399	1.82175	-0.355399	-0.218485	0.93194	0.150451	3.28385	-0.0956378	-0.151783	1.51842	-2.01678	23.9249	0.459918	0.39297	-6.51026	-5.51171	6.75323	-1.84528	29.465	2.41528	-2.54852	42.3081	-5.14264	-1.45028	18.3642	2.0871	-0.457912	-0.244388	0.979576	0.140097	3.82661	-0.142961	-0.202643	1.93738	-2.08292	27.3842	0.577838	1.78671	-6.39277	-9.01695	7.24605	-0.81642	29.9038	1.93787	-1.56465	43.1932	-4.92665	-2.68498	18.5323	2.16449	-0.47474	-0.380418	0.942315	0.120358	4.14213	-0.183685	-0.22415	2.16396	-2.02148	29.5159	0.431084	3.12841	-4.62907	-12.3149	9.642	-4.71914	29.2593	0.783552	-6.01323	36.9571	-9.0408	3.81252	14.4517	1.31215	-0.513697	-0.635401	0.679223	-0.225458	2.4843	-0.0749104	-0.842609	1.54527	-1.72957	22.7814	0.685294	1.96233	-5.37669	-6.33064	11.1101	-6.19054	30.1776	-1.12594	-3.59901	38.6406	-10.1957	2.77947	14.6998	1.56563	-0.623831	-0.704811	0.625741	-0.296946	2.96159	-0.123738	-1.08422	1.92038	-1.7938	26.551	0.651955	4.08759	-4.61765	-9.74618	12.1513	-6.40544	29.1704	-2.25779	-1.30666	38.8963	-10.726	1.12785	15.4949	1.68636	-0.668808	-0.749107	0.558452	-0.345151	3.12185	-0.162301	-1.26967	2.31007	-1.41559	28.9689	0.384128	5.82324	-2.10393	-13.3781
14	5.91353	-1.7695	27.4718	3.26351	-4.12665	40.8356	-4.50833	1.339	19.0756	1.83419	-0.35859	-0.130828	0.944254	0.17684	3.32239	-0.108842	-0.152161	1.67172	-1.6362	24.3066	0.534226	1.33853	-4.23129	-5.50078	6.41938	-1.54955	28.0889	2.53496	-2.12458	42.7647	-4.9217	-1.72773	20.1611	2.05923	-0.431913	-0.134315	0.969869	0.172927	3.76257	-0.158682	-0.189661	2.10099	-1.4621	27.2879	0.672849	3.30243	-3.55649	-8.84506	6.84355	-0.564536	27.9847	1.72771	-0.814957	43.4769	-4.52086	-3.15337	20.6448	2.10425	-0.434428	-0.231657	0.896133	0.165922	4.00314	-0.203736	-0.185689	2.32823	-1.11385	29.102	0.546146	4.99901	-0.923501	-11.7776	9.32021	-4.58673	28.3295	1.08284	-5.23209	37.685	-8.844	3.34855	15.9651	1.31596	-0.527063	-0.552722	0.726669	-0.205077	2.52521	-0.0797244	-0.874416	1.70823	-1.39975	23.2296	0.802718	2.86011	-3.78018	-6.22721	10.6522	-5.64278	28.7497	-0.812433	-2.8521	39.1191	-9.74874	2.26388	16.5304	1.55425	-0.616424	-0.5521	0.676213	-0.26041	2.91119	-0.126303	-1.09737	2.1014	-1.23276	26.4669	0.817654	5.39533	-2.72999	-9.36845	11.563	-5.97621	27.1428	-2.26644	-0.261427	39.1071	-10.1161	0.672768	17.5462	1.65182	-0.656871	-0.556282	0.599551	-0.291626	2.9879	-0.15907	-1.24965	2.47678	-0.57383	28.4116	0.599953	7.50135	0.146165	-12.1881
